x,y,type,image
362,781,full,1
330,796,full,1
275,827,full,1
296,855,full,1
339,856,full,1
357,847,full,1
355,818,full,1
385,807,full,1
386,490,empty,1
554,541,empty,1
233,737,empty,1
279,737,empty,1
319,763,empty,1
203,832,empty,1
197,875,empty,1
253,846,empty,1
303,831,empty,1
354,876,empty,1
381,882,empty,1
382,842,empty,1
394,855,empty,1
418,848,empty,1
573,769,empty,1
543,860,empty,1
344,643,full,2
325,685,full,2
315,708,full,2
299,738,full,2
269,715,full,2
253,765,full,2
262,789,full,2
240,816,full,2
209,791,full,2
387,836,full,2
424,855,full,2
450,861,full,2
479,865,full,2
514,859,full,2
523,824,full,2
478,830,full,2
487,757,full,2
495,711,full,2
268,686,empty,2
234,709,empty,2
227,739,empty,2
216,759,empty,2
193,827,empty,2
197,852,empty,2
217,864,empty,2
241,858,empty,2
263,850,empty,2
479,688,empty,2
371,608,full,3
396,597,full,3
437,608,full,3
455,576,full,3
468,592,full,3
487,562,full,3
268,642,partial,3
212,669,partial,3
285,732,partial,3
384,789,partial,3
333,585,partial,3
432,625,partial,3
216,716,empty,3
252,714,empty,3
248,755,empty,3
198,881,empty,3
289,883,empty,3
349,892,empty,3
459,867,empty,3
463,818,empty,3
402,652,empty,3
394,691,empty,3
369,631,empty,3
316,593,empty,3
409,571,empty,3
486,779,empty,3
372,667,partial,3
386,745,partial,4
429,729,partial,4
414,714,partial,4
394,683,partial,4
406,667,partial,4
422,658,partial,4
338,857,partial,4
325,770,partial,4
279,772,partial,4
263,758,empty,4
235,733,empty,4
277,731,empty,4
297,742,empty,4
298,780,empty,4
408,819,empty,4
405,849,empty,4
420,855,empty,4
398,879,empty,4
381,895,empty,4
560,897,empty,4
563,875,empty,4
546,837,empty,4
539,810,empty,4
523,735,empty,4
380,714,empty,4
366,661,empty,5
441,730,empty,5
501,800,empty,5
512,832,empty,5
519,868,empty,5
395,851,empty,5
321,860,empty,5
257,824,empty,5
293,794,empty,5
359,684,full,5
344,707,full,5
301,715,full,5
275,768,full,5
308,742,full,5
314,770,full,5
368,739,full,5
390,703,full,5
299,834,full,5
384,815,full,5
410,812,full,5
432,812,full,5
424,854,full,5
490,839,full,5
460,788,full,5
453,766,full,5
421,732,full,5
458,845,partial,5
327,677,empty,5
202,858,empty,6
187,890,empty,6
238,900,empty,6
400,864,empty,6
440,783,empty,6
475,844,empty,6
501,843,empty,6
443,898,empty,6
383,904,empty,6
346,866,empty,6
288,810,full,6
274,841,full,6
258,879,full,6
226,883,full,6
282,869,full,6
309,858,full,6
344,831,full,6
368,862,full,6
365,883,full,6
404,841,full,6
348,792,partial,6
311,833,partial,6
388,800,partial,6
368,827,partial,6
438,863,partial,6
451,826,partial,6
299,889,partial,6
330,879,partial,6
238,708,empty,7
241,784,empty,7
174,875,empty,7
206,890,empty,7
223,866,empty,7
257,887,empty,7
293,883,empty,7
252,852,empty,7
256,836,empty,7
281,804,empty,7
298,848,empty,7
323,859,empty,7
348,836,empty,7
374,852,empty,7
384,881,empty,7
306,705,empty,7
333,698,empty,7
366,801,empty,7
388,801,empty,7
404,775,empty,7
393,717,empty,7
425,755,empty,7
436,783,empty,7
410,821,empty,7
422,844,empty,7
445,849,empty,7
461,878,empty,7
489,875,empty,7
485,846,empty,7
501,811,empty,7
179,858,empty,8
189,883,empty,8
358,805,empty,8
501,897,empty,8
347,452,empty,8
397,471,empty,8
228,755,full,8
318,744,full,8
195,798,full,8
205,835,full,8
187,771,partial,8
201,757,partial,8
339,806,partial,8
312,695,partial,9
258,714,partial,9
304,756,partial,9
415,775,partial,9
343,836,partial,9
354,802,partial,9
381,788,partial,9
237,806,partial,9
261,833,partial,9
231,870,partial,9
299,870,partial,9
293,838,partial,9
309,815,partial,9
205,843,empty,9
